% Model,results1.mph
% Version,COMSOL 5.5.0.292
% Date,"Nov 27 2020, 21:48"
% Table,learning parameters - learning parameters
% r (m),phi2,PL (Pa),Dr,cL (mol/m^3),porosity (1),Thiele modulus,Peclet number (1),diffusion ratio of flow to cell phase [0.01-1],normalized intrinsic average concentration in flow domain 1 (1),normalized intrinsic average concentration in flow domain 2 (1),normalized intrinsic average concentration in flow domain 3 (1),normalized intrinsic average concentration in flow domain 4 (1),normalized intrinsic average concentration in flow domain 5 (1),normalized forward finite difference on intrinsic average concentration in domain 1 (1),normalized forward finite difference on intrinsic average concentration in domain 2 (1),normalized center finite difference on intrinsic average concentration in domain 3 (1),normalized center finite difference on intrinsic average concentration in domain 4 (1),normalized backward finite difference on intrinsic average concentration in domain 5 (1),Effectiveness factor in domain 1 (1),Effectiveness factor in domain 2 (1),Effectiveness factor in domain 3 (1),Effectiveness factor in domain 4 (1),Effectiveness factor in domain 5 (1)
8.3469E-7,5.13693,10701.7582,0.021212,8.3155,0.513606480602348,5.13693,111.61519804916708,0.021212,8.268876575395717,8.203886394927283,8.14163198356904,8.079545654325866,8.017766978402154,0.018082217911732597,0.0173210448722039,0.01729766212876609,0.017231480193791334,0.01718868100225439,0.45005909021624535,0.44810397794787776,0.4465918665551174,0.4450243209801054,0.44347150480387115
8.7158E-7,45.4567,7067.56492,0.92893,5.7249,0.46966306917838585,45.4567,53.509239497166256,0.92893,4.722512037154402,3.3441567463566018,2.300894051972579,1.5373863430260994,1.0021470813472868,0.400448968117849,0.3030956330570755,0.2624574913557999,0.18866031410959871,0.1555012785646732,0.5868956658537393,0.4901298147783373,0.4069443794962079,0.33661895277041926,0.2814020869691929
9.1014E-7,37.2128,11346.3885,0.38405,4.955,0.4216992409286538,37.2128,56.19813078937466,0.38405,4.2814175456813786,3.2809440975077844,2.464173036681775,1.8105676133126314,1.302655434961195,0.303523634706905,0.2477920044333947,0.22304140888756274,0.17619060500499478,0.15409039666825877,0.4591934387475181,0.4034303243427508,0.35350052099887724,0.30856757921947536,0.2697862708673024
7.1978E-7,2.45386,3166.97016,0.022186,0.51357,0.6383096606396944,2.45386,65.9499142648904,0.022186,0.5083000524990959,0.5010918697660237,0.49437545103929115,0.48774779707597504,0.48117248510407395,0.0017294352558702409,0.0016114479570425216,0.0016007994401405384,0.0015838718034751052,0.0015775926837116546,0.2326693265176247,0.23123334876662502,0.23053460006983859,0.22995838472662497,0.22926494995290786
9.5341E-7,7.26967,7145.76486,0.87389,3.8234,0.3654048267953486,7.26967,18.279224068088276,0.87389,3.020538264874666,1.7517646239455718,0.8787614113824035,0.386871190445989,0.15599437742074557,0.4032204923327359,0.27744333096328344,0.21688384140547287,0.1148488863082307,0.07337342076879912,0.8930448555962515,0.8048461197629321,0.6852071032321403,0.5832860802553091,0.5263828879687016
9.7772E-7,56.7857,12474.4822,0.83691,3.8078,0.33263049633054975,56.7857,18.910201607306686,0.83691,1.609379147992552,0.1532106301734236,0.011040397820091552,7.680963287748815E-4,5.333282043312778E-5,0.4745750277473728,0.04633422652549994,0.02484101903176499,0.0017903788652443393,2.3294619245863317E-4,0.3091697873863407,0.16786326564180729,0.15151928035363862,0.15025670510226402,0.15022440429363487
7.553E-7,51.8113,6073.2362,0.095285,1.7098,0.6017311607604585,51.8113,105.91502842168133,0.095285,1.6180149838238371,1.5060794231482342,1.407195495467821,1.3142547797305435,1.2262803871792571,0.02818164299276097,0.024895676859005362,0.02414752552889696,0.022774196881725377,0.022149019564662194,0.13978875556116388,0.13345335223237065,0.1299012688567514,0.12672334664556836,0.12347559612947516
5.9557E-7,9.25176,240.900448,0.27658,8.1173,0.7523701550694424,9.25176,7.960780370200546,0.27658,7.287495904251114,5.94687095272282,4.755093248301928,3.7199538789010425,2.846240120066906,0.26614533412723523,0.2365956824739836,0.22104750027600603,0.18947594293048864,0.17345256778294887,0.8385068093695296,0.7799600932783434,0.7133205927376267,0.6423468147867304,0.5719281513797879
9.8693E-7,63.7321,15642.5004,0.74068,3.9883,0.31999820358314535,63.7321,18.563335381278012,0.74068,1.6027862975839557,0.1228589217837909,0.0068784807533580445,3.7250292401812474E-4,2.0143446428734634E-5,0.48686157499948557,0.0381548588887217,0.02014758689421259,0.0011281164730546239,1.159180464057656E-4,0.27705685502596356,0.1479676629960992,0.13610693575111144,0.13536792218555982,0.13535020894445027
9.5012E-7,2.58749,16773.5488,0.096993,3.963,0.3697769559491687,2.58749,45.56882336814635,0.096993,3.8564092989338787,3.669264924053067,3.4874494060000396,3.310769094779863,3.139135733384538,0.05926987115391894,0.057582186670847475,0.05676900955150942,0.055156631104240066,0.05435742977630877,0.7827761842328318,0.7706582777064038,0.7582641203215196,0.7454803835365963,0.7329151404834877
7.3969E-7,16.931,2317.31836,0.19544,1.4755,0.6180233163770318,16.931,43.82839312080564,0.19544,1.3595466703083654,1.2024539261463885,1.064542380665786,0.9404376324393914,0.8287969099708286,0.03873331064305757,0.03400393035884892,0.032301805382021445,0.029063094536392192,0.027526508667590415,0.2980852431997551,0.2808562605524613,0.26871687154738894,0.2574708735485375,0.24706750530377422
6.4628E-7,82.0984,976.214776,0.55428,1.276,0.7084058602922878,82.0984,27.40186979557501,0.55428,1.0171101178506827,0.7346186815055566,0.5353236636822519,0.3891794650197474,0.28235124699600544,0.060856188493709364,0.042933461372948456,0.03720840947174147,0.027248502242664563,0.023013646914794645,0.12646652002330933,0.10316138316730866,0.09223206463525946,0.08413960802014732,0.07813049221735556
7.2185E-7,29.836,1713.18138,0.95461,1.3114,0.6362263140997847,29.836,35.33301104925913,0.95461,1.0775753901695022,0.7999595059351332,0.5955983693610101,0.44146276014295316,0.32606611505928784,0.06679900867819309,0.04917269547867693,0.043130145991680864,0.03242697629461637,0.027766356084547937,0.32615182051635605,0.2791257615647506,0.25211135098455095,0.2311468506063688,0.21525005324648516
5.6946E-7,22.0293,602.005157,0.86974,8.8112,0.773606576710624,22.0293,21.39227097624763,0.86974,7.978654785598809,6.819137403928544,5.801793518403661,4.888973306778863,4.081063283685585,0.22009958938864957,0.1931122163503333,0.18319187446047625,0.16331450657709262,0.15335748058356605,0.8479508766531542,0.7892679847826307,0.733941022198969,0.6749079651483585,0.6161377851484996
8.4505E-7,14.5804,9083.64503,0.23525,3.3645,0.501457518463853,14.5804,87.18523697248907,0.23525,3.2050657051196416,2.9791846698138147,2.7697345995632703,2.5707337620455126,2.3818429139893715,0.06362692296172967,0.058998593955074174,0.05752690660160061,0.05463131148237051,0.05320740371661401,0.5101926898187217,0.4921376763825108,0.4770430206898337,0.4623275353303066,0.44787061465191114
9.5636E-7,16.2309,18868.3154,0.82202,7.5446,0.3614716774095628,16.2309,45.648688490259346,0.82202,6.659163825302222,5.15863033122839,3.8230216997222155,2.6959721021269525,1.8059190161609107,0.47835007079748315,0.4257742236090817,0.3925313039972418,0.32151272040844825,0.2837370564314946,0.9186229433631048,0.8742914611465159,0.8063716142258065,0.7188622763346681,0.6254071859226064
7.7029E-7,87.742,6603.61861,0.55993,9.9789,0.5857658702665726,87.742,105.92029544966371,0.55993,9.173793564170193,8.195140155897459,7.350840368970411,6.570633414692866,5.850647877229863,0.2512823112861348,0.21678522762401178,0.208556882947081,0.19259721241047112,0.18486588655079203,0.4831082183126886,0.4434992336876839,0.4168049041062678,0.3911394214834093,0.366007269408236
9.5897E-7,66.5076,18016.9826,0.73222,3.9573,0.3579817091483866,66.5076,41.42890355003826,0.73222,2.6126197265946383,1.054978998406228,0.379543742788179,0.12803752046651037,0.04202050106336625,0.4979102430369466,0.21590738236001353,0.14815151151664185,0.05394577718614062,0.027495913699011044,0.35079072716521503,0.2341162205943738,0.17269453559909093,0.1471175398346745,0.13806945358797168
5.6217E-7,19.9294,646.378135,0.21585,6.1116,0.7793658719118467,19.9294,23.41117436232452,0.21585,5.709149209097394,5.160459301810391,4.671390954121314,4.216200142220669,3.792985644600405,0.10281900172651137,0.09164651767345616,0.08847236195775905,0.08230218547556159,0.07930616470906124,0.511598671031146,0.4783882702283969,0.454568351094421,0.4313738385255924,0.4089188768451372
8.6491E-7,78.34,11535.0374,0.43329,4.8661,0.4777491016215646,78.34,93.08054605947522,0.43329,4.28549294146562,3.521367269670772,2.880390110688884,2.33337745786786,1.8742221745598189,0.22029997826402725,0.18479585152500824,0.17125071135440945,0.14504078493956496,0.13237599869531932,0.3237210472686375,0.28806045959299537,0.25962496960118187,0.23335348401482403,0.20989044416482477
7.5866E-7,49.3068,5671.43509,0.56425,2.4569,0.598179830702133,49.3068,97.12734838435422,0.56425,2.2224862833217283,1.9486684856126781,1.7206238825931208,1.5160527315466221,1.332735541292975,0.06924487013664932,0.057669439508939116,0.05470137799662568,0.04904589483512811,0.046358473185944,0.3111047459516123,0.2811278530082098,0.26447795250674566,0.2491351897959476,0.2350496128189258
8.7397E-7,62.3081,7975.48323,0.36763,4.1706,0.4667505583195032,62.3081,58.99634463594771,0.36763,3.5332052189038867,2.656784646394471,1.9657922080560986,1.4288484192659143,1.0221246071132082,0.2553217625853514,0.20130222044486243,0.17886323740392412,0.13745619553267632,0.11848813670236685,0.3102363183858805,0.26668403021233333,0.23074248870834735,0.20013336274181354,0.17489841833763217
9.2334E-7,16.2421,7773.004,0.6493,7.0657,0.40480310218637594,16.2421,32.28042167862733,0.6493,6.059049709197343,4.407176419161513,3.034948450796654,1.9722726165196645,1.2106296503976568,0.5084135612072278,0.4223443241033363,0.37470734618855406,0.2807444201934017,0.23441847211303152,0.866593480415607,0.7892267996573136,0.6897758442315325,0.5847073853522771,0.490213971103073
7.1262E-7,9.79857,105.523379,0.39291,8.3534,0.6454696881929687,9.79857,2.270715191227942,0.39291,4.836234657179622,1.0982548671517445,0.16093683234281364,0.020258048402801772,0.002490138980770591,0.887919719323222,0.22265052598851343,0.1280336821628119,0.018818713770609855,0.004220589204109286,0.7659530892739447,0.43086153580308423,0.2815920529811208,0.2553231865499795,0.2523383702630113
