por,phi2,Pe,Dr,c_f_avg_norm,d_f_c_avg_norm,eta_d_f
0.744821011595424,0.180794,46.7961804975123,0.7224,6.82753362704137,0.00115597500824178,0.996292918973228
0.625188030977106,41.126,98.4319439485009,0.8892,4.5946629227682,0.10678057020584,0.554025323986385
0.39828767024405,53.4788,60.7836492908646,0.26489,1.4944208746422,0.138110171886058,0.206113490208062
0.737638071010663,64.6052,2.74431393395931,0.79984,0.0473799559452756,0.00866849208386018,0.0681286098424765
0.316134290361589,66.5971,25.171405233587,0.24037,1.13021708490249,0.279291785189263,0.161717390863537
0.619323538638306,64.5827,79.8279014865391,0.97494,5.04809566139798,0.173618790754378,0.461971187934667
0.760722345336628,3.19026,29.2562129277444,0.63974,0.372387830323878,0.00548009962515994,0.622430510857126
0.295570976728147,25.2497,6.89408622353617,0.907,0.00115412641470238,0.000385018499388302,0.235554728014072
0.352480177226162,4.16876,14.8675070619696,0.93705,6.73044032749325,0.431391756960932,0.985075977900121
0.33164722306891,29.2805,28.9801459008562,0.39563,2.61517053300736,0.464307094704258,0.425065323179594
0.662561705586264,71.0125,22.4126672248293,0.9818,3.69210654370342,0.316028366635398,0.323726950634567
0.586314207827681,7.17536,59.3416376824052,0.33132,3.01357531450166,0.045611264404609,0.73316114092035
0.680677899847361,23.6777,45.4415664174077,0.93556,4.31518959207284,0.124774458251861,0.678326262342031
0.54787415896689,40.5377,43.3018968099104,0.50003,3.41786015771168,0.212427422425894,0.405585686696006
0.604647039825545,20.967,80.6259801085087,0.86958,1.20252337780148,0.0358010061349488,0.423240227205837
0.382671372994866,65.8144,67.6815631575795,0.87178,5.14528840410953,0.572819380238485,0.521388545701462
0.626292132405476,11.7554,88.3732759565153,0.81489,8.25908222753943,0.0674438415633466,0.954734536160048
0.612353000295097,31.2895,75.0740133913433,0.50447,1.81108552167579,0.0524029291731227,0.336387443585817
0.448562132001609,7.45542,33.5274727271612,0.8624,0.291020952809215,0.0268582676672884,0.532825804537595
0.274802682621454,31.2357,8.64210385643753,0.20347,0.00462185162456141,0.00152482437498339,0.128359687533703
0.429879443589008,16.5915,35.5363904989975,0.42225,4.61806291065417,0.324230161828667,0.699159565658183
0.470867170642513,7.32611,51.0820143299384,0.51711,4.65890779982886,0.117585200687457,0.906154779272157
0.759674893106987,14.5725,63.7290891762803,0.86757,2.44978946934973,0.0310177217407881,0.625594886972484
0.609058239780374,28.2204,20.2207270224888,0.50982,1.4627028723683,0.132005851147252,0.314241860878053
0.613714778154882,20.9982,78.021008982138,0.44326,2.6776357583712,0.0560274715150724,0.480120223612025
0.450421954852534,26.5593,101.547061587004,0.51514,3.06345569473703,0.115523175458481,0.513823769396909
0.783273105601701,68.0068,41.8905000335538,0.11918,1.66199480700587,0.0296291887785636,0.113376119196998
0.517270711751382,48.9239,78.3313141066847,0.5282,1.27425924705985,0.0683867207762066,0.240404976649291
0.711717153682697,59.0521,16.6817028091995,0.69038,4.03236667517583,0.300418086026119,0.331073049311037
